term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
pre24,-0.05549735645056931,0.04885755524473494,-1.1359012167631923,0.25604928911398867,1197,5298,1315,ledhm,cognitive,0.007150723132737326,-0.11814543603387595
pre12,0.06653406180234647,0.047424035652211906,1.4029607747910686,0.1606871352645598,1480,5298,1315,ledhm,cognitive,0.12733756700135343,0.005730556603339515
post03,-0.07421108694995357,0.09352835836925028,-0.793460809575722,0.4275449275347325,227,5298,1315,ledhm,cognitive,0.04600172721180089,-0.19442390111170804
post06,-0.059029247079621684,0.07202709506772681,-0.8195422434309853,0.41251397618674224,441,5298,1315,ledhm,cognitive,0.03341598616457938,-0.15147448032382274
post09,0.01136496534204723,0.06497727865917641,0.1749067608949827,0.8611595813072466,545,5298,1315,ledhm,cognitive,0.09473794305514484,-0.07200801237105038
post12,-7.601470399624082e-4,0.080092586453589,-0.009490853943178479,0.9924278651946532,295,5298,1315,ledhm,cognitive,0.10211379213564067,-0.1036340862155655
post24,-0.15054434697312852,0.058491042392614954,-2.5738017449341295,0.010085723650667337,1557,5298,1315,ledhm,cognitive,-0.07555322256187944,-0.2255354713843776
post36,-0.12610725428370018,0.06901668200142962,-1.8271996077859551,0.06772598920134466,1266,5298,1315,ledhm,cognitive,-0.03761260426996452,-0.21460190429743584
post48,-0.13510187672658863,0.08320230193051234,-1.6237757080257347,0.1044831765167482,1130,5298,1315,ledhm,cognitive,-0.028411409601224874,-0.2417923438519524
pre24,0.012735479811332702,0.010673236208955947,1.193216336826343,0.23278933533954912,17622,60525,9281,ledfr,cognitive,0.026414295189806578,-9.433355671411743e-4
pre12,0.008840608239438752,0.010201662347216396,0.866585066094741,0.38617283421294735,19719,60525,9281,ledfr,cognitive,0.021915002611111213,-0.00423378613223371
post03,-0.005683558979160601,0.013756334310159624,-0.4131594108586803,0.6794912875552703,7892,60525,9281,ledfr,cognitive,0.011947368764599325,-0.023314486722920528
post06,-0.04722253525692806,0.01736600273826461,-2.7192518605837224,0.006544841974512414,4969,60525,9281,ledfr,cognitive,-0.024964147560542722,-0.0694809229533134
