term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
post36,0.00424636848110213,0.018600750872269315,0.2282901647498958,0.8194233902506034,5607,17160,3034,ledfr,losat,0.028086999194414344,-0.019594262232210082
post48,-0.00891719737539582,0.019060166795267845,-0.46784466637562344,0.6399016175466061,5209,17160,3034,ledfr,losat,0.015512487941125322,-0.03334688269191696
pre24,-0.052053032863430986,0.06864609915865612,-0.7582810021458767,0.44842721876574987,515,1237,286,lejlf,losat,0.03603369514737243,-0.1401397608742344
pre12,-0.04744975932721916,0.06271042067133006,-0.7566487167405055,0.4494044282483247,526,1237,286,lejlf,losat,0.033018131674762,-0.12791765032920033
post03,0.05711450290037357,0.08821202952760338,0.6474684145261759,0.5174489689825889,180,1237,286,lejlf,losat,0.17058154403680628,-0.05635253823605913
post06,-0.06515828463085377,0.11499375168862083,-0.56662456589197,0.5710720717008214,115,1237,286,lejlf,losat,0.08307117399086755,-0.2133877432525751
post09,-0.07233864860623525,0.1239206970520662,-0.5837495295547089,0.5594952615335285,79,1237,286,lejlf,losat,0.08782880244431703,-0.23250609965678753
post12,-0.007403006911125338,0.13760191796542548,-0.05380017241464216,0.957103059291293,101,1237,286,lejlf,losat,0.17011375456894332,-0.18491976839119398
post24,0.0510066554536923,0.06359555754491913,0.8020474609042466,0.42267955466450413,516,1237,286,lejlf,losat,0.13261232060179065,-0.03059900969440605
post36,-1.2765887209850916e-4,0.07170081457071818,-0.0017804382399672714,0.9985797036415177,475,1237,286,lejlf,losat,0.09188887545040447,-0.09214419319460149
post48,-0.07067100947878321,0.0734782524148061,-0.9617949142261144,0.3363405984146267,445,1237,286,lejlf,losat,0.02363547557471346,-0.1649774945322799
pre24,-0.6164052123887319,1.704695248719323e-21,-3615926147807447e5,0,37,0,31,lejls,losat,-0.6164052123887319,-0.6164052123887319
pre12,-0.054914900055997216,NaN,NaN,NaN,39,0,31,lejls,losat,NaN,NaN
post03,-1.2131184672804647,NaN,NaN,NaN,11,0,31,lejls,losat,NaN,NaN
post06,0.4736034168804745,1.8952893767956394e-21,24988448871126716e4,0,6,0,31,lejls,losat,0.4736034168804745,0.4736034168804745
post09,-3.311656254650955,NaN,NaN,NaN,10,0,31,lejls,losat,NaN,NaN
post12,-0.8789002993197828,NaN,NaN,NaN,13,0,31,lejls,losat,NaN,NaN
post24,0.20758018687502675,NaN,NaN,NaN,40,0,31,lejls,losat,NaN,NaN
post36,0.2111083299493995,NaN,NaN,NaN,33,0,31,lejls,losat,NaN,NaN
post48,-1.5272348491917451,NaN,NaN,NaN,26,0,31,lejls,losat,NaN,NaN
pre24,0.011683376467326962,0.03650354915865985,0.320061384073808,0.748934817420476,1401,5136,992,lepcm,losat,0.058486641495870795,-0.035119888561216867
