term,estimate,std.error,statistic,p.value,n,df,N,code,outcome,upper,lower
post09,0.09922775650604798,0.07428747210835104,1.3357266533625025,0.18169583789315116,209,5314,913,lercl,losat,0.19473432394144666,0.0037211890706493056
post12,0.05570597447529568,0.07013534303296973,0.7942639483364189,0.4270772549101651,235,5314,913,lercl,losat,0.14584250730125678,-0.03443055835066541
post24,0.08702750944134362,0.04499522453464548,1.9341499090494385,0.053147727103083735,1273,5314,913,lercl,losat,0.14472117252201813,0.029333846360669102
post36,0.0724338196371713,0.0522675111742634,1.385828749252515,0.16585735454752334,1155,5314,913,lercl,losat,0.13945569674066574,0.005411942533676856
post48,0.07092721023482619,0.05710928672914014,1.2419558060884592,0.21430767772632453,978,5314,913,lercl,losat,0.14416522625271974,-0.00231080578306736
pre24,0.0041919655411709715,0.008861909132507926,0.4730318804323649,0.6361917329585844,22914,79518,10179,leinf,losat,0.015549286501265965,-0.007165355418924022
pre12,0.010459850549562173,0.00852098213144318,1.2275404863207489,0.2196231484656793,25000,79518,10179,leinf,losat,0.021380217108764164,-4.605160096398178e-4
post03,-0.01507470238735918,0.011851964434562351,-1.2719159317926043,0.20340671028924806,9752,79518,10179,leinf,losat,1.1523025083223434e-4,-0.030264635025550594
post06,-0.02398868332230305,0.014775547146389324,-1.6235394252838293,0.10447810634166523,5865,79518,10179,leinf,losat,-0.005050924356303242,-0.042926442288302856
post09,-0.005829971875753169,0.017138555204824185,-0.34016705644546635,0.7337316241103455,3931,79518,10179,leinf,losat,0.016137662930243872,-0.027797606681750214
post12,-0.025288745931422864,0.015089240451954259,-1.6759455859918801,0.09375278276573282,5688,79518,10179,leinf,losat,-0.0059488597090175226,-0.0446286321538282
post24,-0.01935232971976457,0.008739768940755076,-2.214283907383553,0.026812080115659005,24911,79518,10179,leinf,losat,-0.008151568115691593,-0.030553091323837545
post36,-0.007292397293184099,0.009101342558781284,-0.8012441292134584,0.42299272260889886,22330,79518,10179,leinf,losat,0.0043717875915507114,-0.01895658217791891
post48,-0.017450656523032095,0.01000702867627456,-1.7438399636452993,0.08119086400396422,19779,79518,10179,leinf,losat,-0.004625704897371345,-0.030275608148692845
pre24,0.010439171027282654,0.010096653496868004,1.0339238670041415,0.301175415581842,17116,68329,9497,ledrl,losat,0.023379052568461716,-0.002500710513896408
pre12,3.088310219075287e-4,0.009794715684259214,0.03153037125966214,0.9748466635094508,18226,68329,9497,ledrl,losat,0.012861719240526205,-0.012244057196711148
post03,-0.001182668397002187,0.014908887372310846,-0.07932640226383814,0.9367732387992871,6062,68329,9497,ledrl,losat,0.017925922221956967,-0.02029125901596134
post06,-0.0013014983050540362,0.01699120372529242,-0.07659835795604512,0.9389432895427978,4357,68329,9497,ledrl,losat,0.020476908166340516,-0.023079904776448588
post09,-0.024062504571720097,0.018859799785857844,-1.275862143020391,0.20200859251924635,3197,68329,9497,ledrl,losat,1.1229817463149008e-4,-0.04823730731807169
post12,0.04466101350538498,0.01676863609312354,2.6633658967469342,0.007738137662719893,4399,68329,9497,ledrl,losat,0.066154113684728455,0.02316791332604151
post24,0.011794840538267954,0.010293750926336782,1.1458253286555244,0.25187144561604335,17887,68329,9497,ledrl,losat,0.024987300398086065,-0.0013976193215501573
post36,0.00118556976545329,0.010787823122308346,0.10989888803438272,0.912489887167518,15807,68329,9497,ledrl,losat,0.01501129920763998,-0.0126401596767334
post48,0.004252020388849552,0.01179289900117027,0.3605576871664552,0.7184312397031152,13723,68329,9497,ledrl,losat,0.01936595616990571,-0.010861915392206607
pre24,-0.08326926396028521,0.04810238761684644,-1.731083800321018,0.08351152168386897,1008,4129,870,ledhm,losat,-0.02158310703963496,-0.14495542088093546
pre12,0.029328308939262655,0.04903046555404533,0.5981650104246844,0.5497626435619944,1062,4129,870,ledhm,losat,0.09220252570810272,-0.03354590782957742
post03,-0.1885912051728222,0.10419110203907773,-1.810050968671869,0.07036055562017532,126,4129,870,ledhm,losat,-0.05435546179539588,-0.3228269485502485
post06,-0.049292017809927834,0.07791955535259742,-0.6326013744158859,0.527029018769499,276,4129,870,ledhm,losat,0.05080637409702326,-0.14939040971687892
post09,0.02675279140393378,0.06827492508002704,0.39183919092662567,0.6951972575219784,372,4129,870,ledhm,losat,0.11440670858305549,-0.060901125775187935
