term,estimate,std.error,statistic,p.value,df,n,N,code,outcome,upper,lower
pre12,-0.10261737178742998,0.01895366111209441,-5.414118738355484,6.235273603730952e-8,18640,5080,3375,lefnw,cognitive,-0.07832411803707698,-0.12691062553778298
post03,-0.38881466740586224,0.03370821173005316,-11.534716540872074,1.120774349992593e-30,18640,1517,3375,lefnw,cognitive,-0.3455970237304848,-0.4320323110812397
post06,-0.3481503230071182,0.0351025761494818,-9.918084687703406,3.963502925530767e-23,18640,1270,3375,lefnw,cognitive,-0.30314113124638187,-0.3931595147678545
post09,-0.40342896051701743,0.03936874396925848,-10.247443018045976,1.412006173731773e-24,18640,988,3375,lefnw,cognitive,-0.3529420940054462,-0.4539158270285887
post12,-0.37870367554180445,0.033448314899170835,-11.322055436376925,1.2751964549516133e-29,18640,1382,3375,lefnw,cognitive,-0.3358174206157783,-0.4215899304678306
post24,-0.13437378653560908,0.019645981609734603,-6.839759356642517,8.178682468067835e-12,18640,5187,3375,lefnw,cognitive,-0.10919324053607075,-0.15955433253514742
post36,-0.054345989864651764,0.021624160308125712,-2.513206944929564,0.011972277997165518,18640,4581,3375,lefnw,cognitive,-0.026629515686874335,-0.0820624640424292
post48,-0.03358733586336492,0.02431702197865245,-1.3812273514762925,0.16722562460268695,18640,4055,3375,lefnw,cognitive,-0.002418739381055763,-0.06475593234567407
pre24,-0.01901139158989486,0.0332257624502311,-0.5721882716272363,0.5672097281516036,8409,2133,1885,levio,affective,0.02358233391337188,-0.061605117093161604
pre12,-0.0669942310724669,0.03043371875930517,-2.2013159680652987,0.02774073184116945,8409,2496,1885,levio,affective,-0.02798152181741593,-0.10600694032751787
post03,-0.3377646026153513,0.03930535453551537,-8.593348326375109,9.967681813459992e-18,8409,1046,1885,levio,affective,-0.2873609010129122,-0.3881683042177904
post06,-0.13440740683406865,0.04849783468372882,-2.7714104703969964,0.0055936697669644875,8409,646,1885,levio,affective,-0.07219120918938575,-0.19662360447875155
post09,-0.19391607716147244,0.05370214603699365,-3.6109558271263498,3.0684700759591973e-4,8409,548,1885,levio,affective,-0.12501079117498687,-0.262821363147958
post12,-0.17854024561097678,0.04956410761843924,-3.6022084163289727,3.173458493478439e-4,8409,640,1885,levio,affective,-0.11495555110730223,-0.24212494011465135
post24,-0.094502158034254,0.030363466484442252,-3.1123639352138985,0.0018621787014006842,8409,2626,1885,levio,affective,-0.055580015034192666,-0.13342430103431535
post36,-0.03375111865912165,0.034635756430305024,-0.9744588291881696,0.3298568021410305,8409,2323,1885,levio,affective,0.010649020837705261,-0.07815125815594856
post48,-0.009398341400250828,0.039976101877978475,-0.23509899561838135,0.8141376227907313,8409,2050,1885,levio,affective,0.0418496168979503,-0.06064629969845196
pre24,-0.04576938411011406,0.04080949317008418,-1.1215376755442232,0.26210420240918225,5966,1342,1407,lercl,affective,0.006555862093042909,-0.09809463031327104
pre12,-0.12926526462279894,0.03965365817344939,-3.2598572383253694,0.0011209350222374315,5966,1605,1407,lercl,affective,-0.07842611906792694,-0.18010441017767093
post03,-0.2830946645071352,0.05511865738235845,-5.136095071099172,2.89409521449767e-7,5966,684,1407,lercl,affective,-0.21238887526735634,-0.3538004537469141
post06,-0.09646541812770577,0.05920330877803324,-1.629392345103155,0.10328278218412423,5966,482,1407,lercl,affective,-0.02048897798227642,-0.17244185827313513
post09,-0.04053439903354883,0.06697659449531788,-0.6052024492881981,0.5450675076417246,5966,319,1407,lercl,affective,0.04547824532682786,-0.12654704339392553
post12,-0.061488230044241685,0.06435804018782634,-0.9554086772187401,0.33940977785774895,5966,367,1407,lercl,affective,0.021139056586755037,-0.14411551667523842
post24,-0.019706073094573614,0.042653445745545554,-0.4620042472566612,0.6440951209193782,5966,1717,1407,lercl,affective,0.034977568330242625,-0.07438971451938986
post36,-0.01238180623341254,0.04640172845964189,-0.2668393321637075,0.7896020916549819,5966,1537,1407,lercl,affective,0.04710998761688682,-0.0718736000837119
post48,-0.028311706827705268,0.05707773283710903,-0.4960201714476375,0.6198984515038977,5966,1325,1407,lercl,affective,0.044872865970929515,-0.10149627962634006
pre24,0.0033286202012111463,0.009274134592944667,0.35891437285624544,0.7196601133024687,78423,23702,12725,leinf,affective,0.015214233183532795,-0.008556992781110504
pre12,-0.018721814147055985,0.008794688944160916,-2.1287636510994528,0.03327692701239718,78423,26939,12725,leinf,affective,-0.007450690363195579,-0.02999293793091639
post03,-0.11510115902061058,0.01196534817037916,-9.619541143445327,6.799378704704822e-22,78423,11077,12725,leinf,affective,-0.09976603372354263,-0.13043628431767854
post06,-0.10038727886497394,0.014548956129004705,-6.899964366848458,5.240840363273559e-12,78423,6655,12725,leinf,affective,-0.0817401901175001,-0.11903436761244778
post09,-0.0736431104225526,0.017183718284061737,-4.285633016391927,1.824365646300239e-5,78423,4474,12725,leinf,affective,-0.05161803657762857,-0.09566818426747664
post12,-0.1092789561857789,0.014818894020082098,-7.374299056170285,1.668334208191856e-13,78423,6481,12725,leinf,affective,-0.09028584312698945,-0.12827206924456835
post24,-0.03126782278224803,0.008850369854745433,-3.532939673191477,4.1120230599249973e-4,78423,27192,12725,leinf,affective,-0.019925341878435154,-0.042610303686060905
post36,-0.029543778092276183,0.00932711842801063,-3.1675139884095525,0.001538072290674517,78423,24139,12725,leinf,affective,-0.017590267732498922,-0.041497288452053444
post48,-0.005744607621407575,0.010441273795675466,-0.5501826437868969,0.5821956736960134,78423,21347,12725,leinf,affective,0.007636837272898557,-0.019126052515713705
pre24,-0.0029469851564202358,0.010373292556881386,-0.2840935161387383,0.7763395721161177,68683,18103,12060,ledrl,affective,0.010347409310439022,-0.016241379623279494
pre12,-0.017347360098864038,0.00998493902043602,-1.7373526331367137,0.08232942919309495,68683,20298,12060,ledrl,affective,-0.004550729381239699,-0.030143990816488376
post03,-0.12947102384236178,0.014829732151450559,-8.73050318914207,2.590995384813829e-18,68683,7116,12060,ledrl,affective,-0.1104641926906025,-0.14847785499412106
post06,-0.06725304287924727,0.016556774821773444,-4.061965183630106,4.8715303413167106e-5,68683,5143,12060,ledrl,affective,-0.04603195590214944,-0.0884741298563451
post09,-0.05384929729129928,0.018682314288813964,-2.8823675942300975,0.003948213282559462,68683,3835,12060,ledrl,affective,-0.029902822202765654,-0.0777957723798329
post12,-0.02726085218888036,0.01638816064928178,-1.6634479471053443,0.09622736448892528,68683,5243,12060,ledrl,affective,-0.006255932218419982,-0.04826577215934074
post24,-0.005194858947094559,0.010458321795221834,-0.4967201286030394,0.6193880157946299,68683,19945,12060,ledrl,affective,0.008208463673368239,-0.018598181567557357
post36,-0.018432143004169992,0.011158557654134442,-1.6518392049836799,0.09857190545521705,68683,17469,12060,ledrl,affective,-0.004131335154103367,-0.032732950854236616
post48,-0.00484570948158259,0.012314942131491903,-0.3934821154531526,0.6939646521213617,68683,15185,12060,ledrl,affective,0.010937210537402424,-0.020628629500567604
pre24,0.013333681788860352,0.047609496538485056,0.28006349065426667,0.7794392753980914,5527,1197,1447,ledhm,affective,0.07438142585062639,-0.047714062272905686
pre12,-0.04725992071457551,0.046111292150344624,-1.024909919255479,0.3054505480298483,5527,1480,1447,ledhm,affective,0.011860484232776101,-0.10638032566192712
post03,-0.08111104347621347,0.08791906936980873,-0.9225648549012835,0.35627428824939766,5527,227,1447,ledhm,affective,0.0318921026465996,-0.19411418959902654
post06,-0.023258982101636842,0.06871083383214456,-0.33850530992618716,0.7349952843905235,5527,441,1447,ledhm,affective,0.06492990090195219,-0.11144786510522589
post09,-0.10131705819005113,0.06356738479953179,-1.5938528619600751,0.11102617418952247,5527,545,1447,ledhm,affective,-0.01975312898996605,-0.1828809873901362
post12,-0.11606316012949607,0.08076944682165121,-1.4369686149488887,0.15078351605381843,5527,295,1447,ledhm,affective,-0.012319835965623707,-0.2198064842933684
post24,-0.09666022040026802,0.058179916543551584,-1.6614018400647126,0.09668948305975271,5527,1557,1447,ledhm,affective,-0.022067989157960183,-0.17125245164257585
post36,-0.11942927985665981,0.06945854585228635,-1.719432481506933,0.08559164009031439,5527,1266,1447,ledhm,affective,-0.030368062663782183,-0.20849049704953743
post48,-0.1358945917276934,0.0862428353732992,-1.5757203614593402,0.11514749555470243,5527,1130,1447,ledhm,affective,-0.025305242891194457,-0.24648394056419232
pre24,0.010342954184798789,0.01091502302618153,0.9475888562020861,0.34334271278083817,58543,17622,9734,ledfr,affective,0.024331643454286372,-0.003645735084688793
pre12,-0.0033031188219995473,0.010308750842076789,-0.32041892103137737,0.74865192772651,58543,19719,9734,ledfr,affective,0.009908519575873763,-0.016514757219872857
post03,-0.03718426507285473,0.013722677443720504,-2.709694607729066,0.006736478457662129,58543,7892,9734,ledfr,affective,-0.01959647395015171,-0.05477205619555775
post06,-0.029764287426577097,0.017132173724697792,-1.7373328046323049,0.08233370349997408,58543,4969,9734,ledfr,affective,-0.007805603520239287,-0.05172297133291491
post09,-0.02196230017485477,0.020621870432870577,-1.0650003958829841,0.28688014297897635,58543,3121,9734,ledfr,affective,0.004471286936973282,-0.04839588728668282
post12,-0.0419213903582987,0.019378525500051157,-2.16329102842154,0.030522835896626882,58543,3656,9734,ledfr,affective,-0.017082321310990526,-0.06676045940560688
post24,-0.022730736089952533,0.010725431220803936,-2.119330740368006,0.03406672284647275,58543,19252,9734,ledfr,affective,-0.008985071238149575,-0.03647640094175549
post36,-0.014781273403543318,0.011612664694534118,-1.2728580211655134,0.20307348253626395,58543,16933,9734,ledfr,affective,1.0153586179368658e-4,-0.02966408266888032
post48,0.01381223355856158,0.012648340366845643,1.0920194395437668,0.2748290507014837,58543,14629,9734,ledfr,affective,0.030022466004398556,-0.002397998887275392
pre24,0.032334555344383176,0.031210632469870703,1.036010897106858,0.3002321197661164,7145,2186,1562,lejlf,affective,0.07234468663329222,-0.007675575944525857
pre12,-0.05579058618396585,0.02962200765997563,-1.8834167766200542,0.05968448839268502,7145,2500,1562,lejlf,affective,-0.017818418154150355,-0.09376275421378136
post03,-0.12721550115192767,0.04259562582500129,-2.986586032908083,0.002830687574866329,7145,870,1562,lejlf,affective,-0.07258548106994193,-0.1818455212339134
post06,-0.12657041285802442,0.050524146764884606,-2.50514696362955,0.012262131086871152,7145,640,1562,lejlf,affective,-0.06175410542371401,-0.19138672029233483
post09,0.017324830620633638,0.058473574252562145,0.29628478919046947,0.7670212123416594,7145,412,1562,lejlf,affective,0.09238237394340361,-0.05773271270213633
post12,-0.02802941422090834,0.052008049846469506,-0.5389437655065445,0.5899424486718776,7145,616,1562,lejlf,affective,0.03869325427136969,-0.09475208271318636
post24,-5.986745749881633e-4,0.030116967220423393,-0.01987831545608552,0.9841409985412979,7145,2400,1562,lejlf,affective,0.0380084029012014,-0.039205752051177725
post36,0.014848230672238972,0.03328481599683004,0.44609622218290407,0.6555412593467207,7145,2061,1562,lejlf,affective,0.05751812204441041,-0.02782166069993247
post48,-0.01331211821493377,0.039424450263597435,-0.3376614797651475,0.73562822553601,7145,1808,1562,lejlf,affective,0.03723082510561134,-0.06385506153547887
pre24,-0.1721579791376639,0.08465532119481671,-2.033634468664739,0.04220274907104987,1230,320,335,lejls,affective,-0.06344267984810761,-0.2808732784272202
pre12,-0.1151207458357886,0.08362322245944626,-1.3766600048403699,0.16886791735913803,1230,384,335,lejls,affective,-0.0077681072304224,-0.2224733844411548
post03,-0.34986160829130486,0.13622911184896794,-2.568185342639415,0.0103404554872346,1230,120,335,lejls,affective,-0.17430230842693314,-0.5254209081556765
post06,-0.18358288268076683,0.13607778558110487,-1.3491025143949602,0.1775523348497347,1230,117,335,lejls,affective,-0.00819327230580616,-0.35897249305572754
post09,-0.19818563704645076,0.15859877508597417,-1.2496038316753526,0.21168202576968667,1230,75,335,lejls,affective,0.0068979304321872825,-0.4032692045250888
post12,-0.012757389580495765,0.1311164669543876,-0.0972981493234848,0.9225054771944623,1230,108,335,lejls,affective,0.15631908402938083,-0.18183386319037237
post24,-0.09468305088194416,0.10014821341895762,-0.9454292557956013,0.34462545308427295,1230,381,335,lejls,affective,0.03388556088627952,-0.22325166265016783
post36,-0.1426000569333901,0.1110537774721823,-1.2840630924878693,0.1993616957532058,1230,327,335,lejls,affective,1.0076807181874647e-5,-0.285210190673962
post48,-0.005968883840081877,0.13253364688375624,-0.04503674335104592,0.96408533203023306,1230,274,335,lejls,affective,0.16429182825301397,-0.17622959593317772
pre24,-0.025420799643856823,0.018912608002549923,-1.344119205581241,0.1789216302420642,25868,5794,5327,lepcm,affective,-0.00118055305324926,-0.049661046234464386
pre12,-0.0484958880411954,0.01810151609101908,-2.679106423867791,0.007386561466362252,25868,6907,5327,lepcm,affective,-0.02529564253153888,-0.07169613355085193
post03,-0.06504831140422666,0.023699816334580404,-2.7446757597574574,0.0060612489971704365,25868,3010,5327,lepcm,affective,-0.03466910521900764,-0.09542751758944569
post06,-0.07634700064294883,0.027911630196238574,-2.735311413420686,0.006236374812628941,25868,1975,5327,lepcm,affective,-0.040564832782249795,-0.11212916850364787
post09,-0.0027233217489863026,0.03179750897622433,-0.08564575769198109,0.9317486855202262,25868,1401,5327,lepcm,affective,0.0380460629865435,-0.04349270648451611
post12,-0.0662462404456921,0.03247752457323143,-2.0397564566941617,0.04138472646766056,25868,1341,5327,lepcm,affective,-0.02460408901452075,-0.10788839187686347
post24,-0.026615303311893938,0.018878516386142644,-1.409819647238292,0.1586049662910264,25868,7265,5327,lepcm,affective,-0.002419310676210696,-0.050811295947577176
post36,-0.03814560923780237,0.02056640335687091,-1.8547535305952525,0.06364280144442722,25868,6530,5327,lepcm,affective,-0.011786035793794416,-0.06450518268181032
post48,-0.010753618439923665,0.024214450469212317,-0.44409921478897285,0.6569745690223545,25868,5825,5327,lepcm,affective,0.020281968721593276,-0.0417892056014406
pre24,0.030343169789142033,0.011714858773538561,2.59014388271423,0.009596472414851514,48142,13930,8592,leins,affective,0.045357077437395275,0.01532926214088879
pre12,-0.07877950174957336,0.011301324890100543,-6.9708200158532465,3.1914321478102593e-12,48142,15633,8592,leins,affective,-0.06429565906984244,-0.09326334442930428
post03,-0.47048590879514596,0.017761637996943462,-26.488880635677308,1.6495205014879753e-153,48142,5410,8592,leins,affective,-0.44772067352013245,-0.49325114407015946
post06,-0.32486234730491476,0.019557735135596898,-16.610427795068922,8.709073829765214e-62,48142,3869,8592,leins,affective,-0.2997938198977447,-0.34993087471208484
post09,-0.2619788117244672,0.0215203381810202,-12.173545300301956,4.82563258763639e-34,48142,2937,8592,leins,affective,-0.23439318190195393,-0.28956444154698047
post12,-0.27809794407093413,0.018792951201144197,-14.797992135157692,1.938884766741817e-49,48142,4209,8592,leins,affective,-0.2540100265797079,-0.3021858615621604
post24,-0.0717303074753314,0.01189086384407374,-6.032388261773001,1.6272902961765553e-9,48142,15051,8592,leins,affective,-0.05649088339162539,-0.08696973155903742
post36,-0.052765411241476844,0.012588267227156379,-4.191634185175799,2.774461577921663e-5,48142,13025,8592,leins,affective,-0.03663207936534381,-0.06889874311760988
post48,-0.022714362971826253,0.014385086049967629,-1.5790216960069814,0.1143376506745211,48142,11152,8592,leins,affective,-0.004278041241123368,-0.04115068470252914
pre24,-0.011195245292839636,0.009574126891440294,-1.1693228447649566,0.24227741612186887,72701,23302,12986,lemvd,affective,0.0010748398761276298,-0.0234653304618069
pre12,-0.0520993516545147,0.009053472289604679,-5.754626511016761,8.71811414264421e-9,72701,26863,12986,lemvd,affective,-0.04049657473109573,-0.06370212857793367
post03,-0.007425437887384003,0.013302194423916688,-0.5582114988511544,0.5767016887332598,72701,9075,12986,lemvd,affective,0.009623251360252837,-0.024474127135020843
post06,0.013551203076732403,0.013588238381002008,0.9972744587465153,0.31863462694669925,72701,8462,12986,lemvd,affective,0.030966590957632267,-0.0038641848041674615
post09,0.016114875907841022,0.014520935956578936,1.10976840308561,0.2671025089018121,72701,7419,12986,lemvd,affective,0.034725861479444446,-0.0024961096637624025
post12,0.00757474907661019,0.014809843862436618,0.5114671800033374,0.6090255175118179,72701,6541,12986,lemvd,affective,0.026556244954673475,-0.011406746801453097
post24,-0.00591618707481754,0.00896007520652169,-0.6602831938856247,0.5090742049120333,72701,28427,12986,lemvd,affective,0.005566878189303425,-0.017399252338938506
post36,0.004273368573447908,0.0094363589100908,0.4528620216933639,0.6506494511711036,72701,24768,12986,lemvd,affective,0.016366871669803242,-0.007820134522907429
post48,0.014397055632766354,0.010677974648530956,1.3482946070439545,0.1775678464563572,72701,21702,12986,lemvd,affective,0.028081847335322416,7.122639302102902e-4
pre24,-0.01724874297423502,0.019742218412174887,-0.8736983156663813,0.3822926007418226,20913,5335,4381,lesep,affective,0.008055061717714824,-0.04255254766618487
pre12,-0.10493939052949498,0.018602894894198235,-5.641024750520033,1.712260825133875e-8,20913,6159,4381,lesep,affective,-0.08109626369967698,-0.12878251735931298
post03,-0.4196780991334913,0.030998689049390068,-13.538575727019298,1.385963228869903e-41,20913,1826,4381,lesep,affective,-0.3799372956018582,-0.4594189026651244
post06,-0.22569495067156503,0.034377461169477506,-6.565201239233785,5.31821167730343e-11,20913,1470,4381,lesep,affective,-0.1816186406605358,-0.26977126068259427
post09,-0.1931374934655748,0.033727621848496286,-5.7263893177272935,1.0399692665909756e-8,20913,1296,4381,lesep,affective,-0.14989174652473752,-0.23638324040641207
post12,-0.09536322103431012,0.02715652867920226,-3.511613069579977,4.4633438449699544e-4,20913,2334,4381,lesep,affective,-0.06055087194680193,-0.13017557012181832
post24,-0.036423134414549925,0.0200515313623341,-1.8164764454334468,0.06931162752708701,20913,6361,4381,lesep,affective,-0.010723393646933664,-0.062122875182166186
post36,0.017154931699287976,0.021206380848620178,0.8089514105092659,0.4185522984809952,20913,5552,4381,lesep,affective,0.044335236860155655,-0.010025373461579699
post48,0.02041735879654034,0.024334586542710934,0.8390263282552487,0.40146412572483525,20913,4858,4381,lesep,affective,0.05160762843305453,-0.010772910839973851
pre24,0.055495666034246424,0.03966883381783073,1.3989739725926025,0.16187450122594033,5774,1320,1271,ledsc,affective,0.10635879611668816,0.004632535951804677
pre12,-0.10846089588279267,0.03959105138851122,-2.739530577717028,0.0061715949545530936,5774,1483,1271,ledsc,affective,-0.05770029551871524,-0.1592214962468701
post03,-0.44008262634359185,0.06881287101326392,-6.395353367232191,1.727524504298975e-10,5774,389,1271,ledsc,affective,-0.3517449783657858,-0.5284202743213979
post06,-0.4369131172341398,0.07220664324372565,-6.050871465654305,1.5311388319661216e-9,5774,337,1271,ledsc,affective,-0.3441942832373258,-0.5296319512309537
post09,-0.3035832809125487,0.07948631579752094,-3.8193150338717428,1.3522605918640156e-4,5774,263,1271,ledsc,affective,-0.20145996692780058,-0.4057065948972969
post12,-0.1873346274771505,0.060491011435154445,-3.09690023414422,0.0019649371812749507,5774,470,1271,ledsc,affective,-0.1097029285152146,-0.26496632643908635
post24,0.03998879490721638,0.049788373505109076,0.8031753618766617,0.4219064443899564,5774,1484,1271,ledsc,affective,0.10382359801692598,-0.02384600820249322
post36,0.027174431084738986,0.05526024548650366,0.4917537163561074,0.6229121528078373,5774,1307,1271,ledsc,affective,0.0980291248988886,-0.043680262729410634
post48,0.13415708621755315,0.06765891820081767,1.9828440918810293,0.04743215876452872,5774,1151,1271,ledsc,affective,0.22091531581340945,0.04739885662169685
pre24,0.08176929671763533,0.019253528391988663,4.24697723206201,2.1759896427999464e-5,21157,5354,4158,lebth,affective,0.1064467315279012,0.057091861907369465
pre12,0.05441874658700719,0.018516960187591466,2.938859620353568,0.0032977802518333035,21157,6220,4158,lebth,affective,0.07815170686874348,0.0306857863052709
post03,-0.09149393892392511,0.028801408383940907,-3.176717530762847,0.0014916594332705058,21157,1945,4158,lebth,affective,-0.05457090195785114,-0.1284169758899991
post06,-0.044698829473350715,0.028889082421225752,-1.5472568087004739,0.12181628927649162,21157,1642,4158,lebth,affective,-0.0076610707910576906,-0.08173658815564375
post09,-0.04426373276531361,0.03172007762559914,-1.3954484376668526,0.16289529906475553,21157,1509,4158,lebth,affective,-0.0035950021432305454,-0.08493246338739668
post12,-0.06007959489070728,0.02970788949161021,-2.0223447683038653,0.04315330392024108,21157,1676,4158,lebth,affective,-0.021992381484429786,-0.09816680829698476
post24,-0.06525201074951716,0.019797831802907024,-3.2959170175360235,9.826239630427282e-4,21157,6248,4158,lebth,affective,-0.03987738514379258,-0.09062663635524174
post36,-0.12285099352387083,0.022280757679167457,-5.5137709090897165,3.553306423103096e-8,21157,5616,4158,lebth,affective,-0.09429369392079157,-0.1514082931269501
post48,-0.08141335619464869,0.024929156059863178,-3.2657887013562834,0.0010933327339236899,21157,4999,4158,lebth,affective,-0.04946113403084257,-0.11336557835845482
pre24,0.045778212043594495,0.01661127236408152,2.755852233365369,0.005858318768687242,24226,7848,4689,leprg,affective,0.06706820643225889,0.02448821765493011
pre12,0.04737138956334819,0.015237215500897752,3.1089269270069155,0.0018798567508691033,24226,9065,4689,leprg,affective,0.06690009021692683,0.027842688909769542
post03,-0.059737806976830295,0.027049786524448546,-2.2084391284506872,0.027223005026795522,24226,1952,4689,leprg,affective,-0.025060369112559204,-0.09441524484110139
post06,-0.004058243043085897,0.02433971238526164,-0.16673340172841458,0.8675812141464725,24226,2272,4689,leprg,affective,0.027143429536764775,-0.03525991562293657
post09,-0.017108450176045384,0.023836235493772326,-0.7177496706858469,0.4729185717492943,24226,2403,4689,leprg,affective,0.013447318176561394,-0.04766421852865216
post12,-0.038212174195794237,0.0207913556707429,-1.8378875721685382,0.06609121126965645,24226,3430,4689,leprg,affective,-0.011561845605060506,-0.06486250278652797
post24,-0.040326606074016225,0.015529790574540809,-2.596725685414378,0.009417390893664704,24226,9283,4689,leprg,affective,-0.020422962119784126,-0.06023025002824832
post36,-0.05592130626008285,0.01644439859452604,-3.4006294568107687,6.733937589582231e-4,24226,8297,4689,leprg,affective,-0.03484528325321232,-0.07699732926695338
post48,-0.09863939162116951,0.02017844350140234,-4.8883548235181955,1.023323332314893e-6,24226,7394,4689,leprg,affective,-0.07277736488367756,-0.12450141835866146
pre24,-0.022639712334360483,0.026263148385606717,-0.8620334470930369,0.3886820959477141,15921,3221,3715,lemar,affective,0.011024773004768076,-0.05630419767348904
pre12,0.03470703074936288,0.026330547170849507,1.3181279722051107,0.18747977576846117,15921,3884,3715,lemar,affective,0.06845672636966127,9.57335129064478e-4
post03,0.13099514473928528,0.04552576325203965,2.8773849218973044,0.004015191426925872,15921,805,3715,lemar,affective,0.1893867352235336,0.07260355425503695
post06,0.019385566455524375,0.04520867537496377,0.4288019123484418,0.6680731885548816,15921,861,3715,lemar,affective,0.07736735353342372,-0.038596220622374965
post09,-0.015086452617583755,0.04329357455456923,-0.3484686301097196,0.7274928763717496,15921,905,3715,lemar,affective,0.0404370697846337,-0.07060997501980121
post12,0.03087035390839169,0.03539396929608302,0.872192481440844,0.38311653327154693,15921,1744,3715,lemar,affective,0.07624674837055073,-0.014506040553767342
post24,-0.07349661491832422,0.03228784262306187,-2.276293767172559,0.02284164947802413,15921,4135,3715,lemar,affective,-0.03211146648419681,-0.11488176335245164
post36,-0.05508417429102026,0.036999722962690676,-1.4887726145021507,0.1365670627983897,15921,3721,3715,lemar,affective,-0.007658699607577743,-0.10250964897446278
post48,-0.10192823574484293,0.04564216505151259,-2.233203346725661,0.025549377788018097,15921,3278,3715,lemar,affective,-0.04342365398066595,-0.16043281750901991
pre24,-0.04391296864685165,0.022104364213744,-1.9866198467516902,0.04698225696653571,15379,3963,3029,lertr,affective,-0.015580362104701245,-0.07224557518900206
pre12,-0.06198030688892409,0.021663101408261585,-2.8611003438910583,0.004227425324108665,15379,4428,3029,lertr,affective,-0.03421378205186476,-0.08974683172598343
post03,0.045639959798963,0.0451795216958705,1.0101913009657777,0.3124195392840779,15379,733,3029,lertr,affective,0.10359214649383866,-0.012312226895912659
post06,0.008464816540292994,0.04790176617025624,0.17671199241812244,0.8597369474932164,15379,602,3029,lertr,affective,0.06992095145199637,-0.052991318371410384
post09,0.0594668036727914,0.04581156279908302,1.2980741114114906,0.19428133622090404,15379,591,3029,lertr,affective,0.11824249341501956,6.911139305632308e-4
post12,-0.06109747139536212,0.033817922821779256,-1.806659495834393,0.07083492464158883,15379,1476,3029,lertr,affective,-0.017738640590914616,-0.10445630219980961
post24,0.019992138157427935,0.02387964518792431,0.8372041544209272,0.40249083210113534,15379,4341,3029,lertr,affective,0.05059979365417238,-0.01061551733931651
post36,-7.064929608719307e-5,0.026166766389564323,-0.0026999628091367456,0.9978457789965252,15379,3757,3029,lertr,affective,0.033469310061020795,-0.033610608653195186
post48,0.010561529118319743,0.031273172981110965,0.33771850156358996,0.7355799402702689,15379,3294,3029,lertr,affective,0.05064775445881285,-0.029524696222173366
pre24,0.012203866258822908,0.015451068898638195,0.7898396116723365,0.42962737075842394,31590,8661,6012,leprm,affective,0.03200671837929735,-0.0075989858616515304
pre12,0.05185230848387733,0.014411660254315617,3.597941359209463,3.2123570500476204e-4,31590,10042,6012,leprm,affective,0.07032280941384628,0.03338180755390837
post03,0.07548485380662019,0.01945360365138545,3.880250423486155,1.0456066066527486e-4,31590,4133,6012,leprm,affective,0.10041963642342144,0.05055007118981894
post06,0.05541988201391836,0.02267661399230051,2.4439222730843024,0.01453398729265741,31590,2757,6012,leprm,affective,0.08448809965671385,0.02635166437112288
post09,0.001253635492083047,0.026462237659937837,0.047374508089350745,0.9622150452741796,31590,1956,6012,leprm,affective,0.035177820639785036,-0.03267054965561895
post12,0.019692075709503352,0.028477069890431424,0.6915063869025403,0.4892524501789488,31590,1670,6012,leprm,affective,0.05620135977709227,-0.016817208358085572
post24,0.00796929163691639,0.014771434907835791,0.5395069393487918,0.5895409125701585,31590,10191,6012,leprm,affective,0.026900874459795082,-0.010962291185962302
post36,-0.016995187159672496,0.01570698006106221,-1.0820149445407248,0.2792541467910201,31590,9025,6012,leprm,affective,0.0031355913848941618,-0.03712596570423915
post48,-0.0014847816326464271,0.018065510284614218,-0.08218874580647552,0.9344971434253841,31590,7990,6012,leprm,affective,0.021669015897063937,-0.02463857916235679
pre24,-0.02458135936475863,0.010399615417947247,-2.3636796532242035,0.018097623520264085,59923,19399,10479,lejob,affective,-0.011253262059783336,-0.03790945666973392
pre12,-0.062252101190216624,0.009792522186011917,-6.357105963889502,2.0706423101390946e-10,59923,22235,10479,lejob,affective,-0.04970210617940528,-0.07480209620102797
post03,0.09170234301473557,0.013905863159036538,6.594509234411963,4.301974171170742e-11,59923,7925,10479,lejob,affective,0.10952490951829538,0.07387977651117575
post06,0.007077325790321733,0.014994432068654357,0.47199692245208674,0.6369307039646868,59923,6582,10479,lejob,affective,0.02629539277499003,-0.012140741194346563
post09,0.02805288039886121,0.016029410676904172,1.7500880702545691,0.08010823587677797,59923,5459,10479,lejob,affective,0.04859788335922381,0.007507877438498605
post12,-0.0105580347054976,0.017518781611810585,-0.6026694629482522,0.5467308807726585,59923,4380,10479,lejob,affective,0.011896574694002201,-0.0330126441049974
post24,-0.016321816667644616,0.00982001128423855,-1.662097547061039,0.09649844783545587,59923,22458,10479,lejob,affective,-0.0037365956264195418,-0.02890703770886969
post36,-0.002593245000785414,0.010613044927419992,-0.2443450506918589,0.8069644318033841,59923,19763,10479,lejob,affective,0.011008374009132321,-0.01619486401070315
post48,-0.006678110340495432,0.011761826769282698,-0.5677783282726159,0.5701876243871671,59923,17332,10479,lejob,affective,0.008395851733466807,-0.021752072414457674
pre24,0.013232449197218919,0.02088912281163896,0.6334612188620045,0.5264399036958262,19563,4792,4058,lefrd,affective,0.04000662893261413,-0.013541730538176287
pre12,-0.06844813589267043,0.01991290313197501,-3.437376028950811,5.886012668315141e-4,19563,5455,4058,lefrd,affective,-0.042925632391969594,-0.09397063939337127
