term,estimate,std.error,statistic,p.value,df,n,N,code,outcome,upper,lower
post06,-0.06658326032492674,0.017422214531777776,-3.8217449454247157,1.3264268763575133e-4,60738,4969,9281,ledfr,cognitive,-0.04425282473634752,-0.08891369591350597
post09,-0.03748911336103792,0.020807456857225036,-1.8017152993889525,0.07159516658885139,60738,3121,9281,ledfr,cognitive,-0.010817637308392612,-0.06416058941368323
post12,-0.04314429709896511,0.019623194601426877,-2.1986377842794225,0.027907445190058233,60738,3656,9281,ledfr,cognitive,-0.017991615300119248,-0.06829697889781097
post24,-0.024938533825092996,0.010403093750457242,-2.3972228284491703,0.016522875672742538,60738,19252,9281,ledfr,cognitive,-0.011605975238702416,-0.038271092411483576
post36,-0.02448774981923608,0.011116638331924934,-2.202801700304649,0.027612469911271302,60738,16933,9281,ledfr,cognitive,-0.010240648717311913,-0.038734850921160247
post48,-0.037949088322377804,0.012277075211544398,-3.0910528500056316,0.001995383433419107,60738,14629,9281,ledfr,cognitive,-0.02221467280523832,-0.05368350383951729
pre24,-0.0434830330346619,0.03162177680309907,-1.3750977152681811,0.1691407535743992,7779,2186,1484,lejlf,cognitive,-0.002945839733567185,-0.08402022633575662
pre12,-0.005316428516224466,0.027844354381367314,-0.1909338045123458,0.8485824378985962,7779,2500,1484,lejlf,cognitive,0.030376982794299755,-0.04100983982674868
post03,-0.041028777566952536,0.04241158998217869,-0.9673954120605426,0.3333764774127487,7779,870,1484,lejlf,cognitive,0.01336521166457666,-0.09542276679848173
post06,-0.06364697258755138,0.046831639812343076,-1.3590592352219195,0.1741672188352089,7779,640,1484,lejlf,cognitive,-0.0035677004356577183,-0.12372624473944505
post09,-0.04636482036174314,0.06019804817344952,-0.7702047120888621,0.44120185812931634,7779,412,1484,lejlf,cognitive,0.030906283149205675,-0.12363592387269196
post12,-0.023141986220316046,0.049702354633056785,-0.46561146632124406,0.6415066690383748,7779,616,1484,lejlf,cognitive,0.040622637549598425,-0.08690660999023052
post24,-0.04474991890092929,0.030032262488239824,-1.4900615269479838,0.13624860187036417,7779,2400,1484,lejlf,cognitive,-0.006251424806793984,-0.0832484129950646
post36,-0.02908430824774839,0.03213334752399818,-0.9051129274977445,0.3654335952424128,7779,2061,1484,lejlf,cognitive,0.012109443533959489,-0.07027806002945627
post48,-0.02822394371658068,0.03785897765775844,-0.7455020040879722,0.455990824595103,7779,1808,1484,lejlf,cognitive,0.020312032032882146,-0.0767599194660435
pre24,-0.039929834558403904,0.08402313427549678,-0.4752242927225393,0.634697001588129,1485,320,336,lejls,cognitive,0.06797360330093413,-0.14783327241774194
pre12,-0.07796742444717351,0.08051939430454914,-0.9683061468678801,0.33304917041437776,1485,384,336,lejls,cognitive,0.02540062551874603,-0.18133547441309306
post03,0.024781416091825242,0.13025298245948108,0.1902560357843185,0.8491345065156096,1485,120,336,lejls,cognitive,0.19263924101242447,-0.14307640882877398
post06,-0.33863577391520566,0.120608824870785,-2.8077197027498206,0.005054616919408624,1485,117,336,lejls,cognitive,-0.18318398792724988,-0.49408755990316144
post09,-0.0427148975492,0.13447692794913577,-0.3176373687340358,0.7508046810873127,1485,75,336,lejls,cognitive,0.13117678674928426,-0.21660658184768425
post12,-0.1764110941711854,0.131780336991876,-1.3386753911705416,0.1808812692106528,1485,108,336,lejls,cognitive,-0.006478551087496315,-0.3463436372548745
post24,0.0576385009230957,0.08394297034969796,0.6866388058818923,0.4924175694527878,1485,381,336,lejls,cognitive,0.16540309099534223,-0.050126089149150836
post36,0.014302647649318882,0.09647392695864856,0.14825402158087125,0.8821624273682671,1485,327,336,lejls,cognitive,0.13819001050374594,-0.10958471520510817
post48,0.06117943437484644,0.10583732143734306,0.57805161302258945,0.5633169163529261,1485,274,336,lejls,cognitive,0.19714443750912972,-0.07478556875943684
pre24,0.011292166954398915,0.018423362877923226,0.6129264797758696,0.539930137722202,26887,5794,5015,lepcm,cognitive,0.034905349183359226,-0.012321015274561397
pre12,-0.027195385612528607,0.017647593796321772,-1.5410251350071786,0.12332243708537258,26887,6907,5015,lepcm,cognitive,-0.0045769205806138955,-0.04981385064444332
